No,Salary
33990,17075.19230236202
33991,56932.26030998821
33992,30422.35274832864
33993,72783.35490249988
33994,99858.06850444146
33995,58476.78713253056
33996,16829.12080913991
33997,117166.1207475246
33998,111969.93977014453
33999,110778.39740405834
34000,78566.9826561988
34001,123399.94804958679
34002,22717.333948652355
34003,121063.58194454218
34004,55750.15890611186
34005,98854.57090812814
34006,58076.98108081714
34007,110482.84923810133
34008,120036.81319004405
34009,1223.6504433656646
34010,65000.443935265976
34011,50425.51114280893
34012,11533.468977436534
34013,74246.14275155537
34014,47263.35810324979
34015,56511.89535087465
34016,3762.90057541032
34017,6247.397235942528
34018,105207.22481196788
34019,99476.95820585443
34020,76765.79890220874
34021,86531.05995138688
34022,21270.427185599547
34023,59093.149220336214
34024,138030.66298875207
34025,43342.396889407806
34026,19685.09038524768
34027,47391.49089785883
34028,125185.61874440366
34029,25360.516388652635
34030,83762.06376709444
34031,53494.8556978202
34032,-6455.6296726356695
34033,149713.86982541595
34034,106852.45303876653
34035,2276.518084542902
34036,50497.001306397666
34037,69837.31618529587
34038,24110.662920237213
34039,107875.84490537713
34040,4935.187247596396
34041,21399.061771169618
34042,69828.9361174998
34043,58074.37765407992
34044,43055.27801995047
34045,81586.91106533758
34046,44483.490506909424
34047,1812.8837858407583
34048,128075.97132137662
34049,52211.47872236981
34050,57886.48968524016
34051,23868.614929861564
34052,57106.23424557301
34053,68954.41372879365
34054,93100.19116288361
34055,40706.66237614624
34056,11081.906169047328
34057,39492.04180591947
34058,2362.645952506236
34059,30566.111301877685
34060,33482.22046978047
34061,-3065.0178164485324
34062,37.35354587968402
34063,143437.68601120994
34064,89203.29195048039
34065,100623.51492295989
34066,74583.40828259687
34067,15282.834250651651
34068,73741.2340908514
34069,13874.290249476646
34070,55233.651717732915
34071,52417.93233526212
34072,71414.76436022429
34073,11729.30917092632
34074,69140.81571365682
34075,76874.02951827084
34076,65344.607188841066
34077,13833.226819104842
34078,111088.73338007806
34079,42399.80637379033
34080,51248.98249643453
34081,94717.85796028728
34082,118645.5415943671
34083,36695.327212125405
34084,72180.93408221808
34085,87546.6235839425
34086,45757.379726165454
34087,19228.330029852874
34088,33767.47260832555
34089,96141.39941944342
34090,77492.00557759166
34091,125382.57705269102
34092,4212.182373880902
34093,14282.435278009525
34094,104530.08529807601
34095,131075.11385227158
34096,99375.4833762314
34097,25022.55027273068
34098,75198.80042900413
34099,67570.85748676345
34100,13846.13431741473
34101,14677.205324113318
34102,53441.40490987121
34103,47148.16564511691
34104,58425.33336140279
34105,109216.55379305416
34106,106091.38831612965
34107,53808.5816605779
34108,74278.39271308285
34109,44820.13500497734
34110,95020.35036457099
34111,38748.58899354507
34112,94161.42576438663
34113,6956.079610185414
34114,15942.952129608377
34115,60025.26837356333
34116,75798.36934544033
34117,49024.83324605997
34118,101092.44177816815
34119,45674.323096212975
34120,4627.140310061469
34121,49083.5976131309
34122,94829.1154572209
34123,19036.92267659194
34124,135991.1710689491
34125,66813.20144166032
34126,46471.640824581984
34127,33050.912236292985
34128,40511.480749974595
34129,97658.20416308395
34130,130109.2501129294
34131,30800.801989220286
34132,2184.949002786897
34133,124825.30280081429
34134,89454.20314461595
34135,54612.32108770232
34136,103210.38289190253
34137,91788.45224675466
34138,91069.91377255837
34139,47909.371882662665
34140,35271.72652035453
34141,28897.27694019598
34142,58868.303286111135
34143,44499.418492594006
34144,137723.66561573299
34145,35573.87800184119
34146,120642.07278267345
34147,109801.06979038981
34148,74166.36058931923
34149,66786.67624713806
34150,65970.889455203
34151,33862.320278448904
34152,120286.81262027564
34153,52633.343115956624
34154,42043.253021607656
34155,34091.298995883655
34156,99009.60743890742
34157,30974.881811361105
34158,50316.60828757896
34159,60441.98980494784
34160,114458.91782560994
34161,14407.468285351759
34162,129161.60318426826
34163,64554.529765590196
34164,91416.66576035606
34165,13354.73862745179
34166,11886.606573104655
34167,-5588.846173512712
34168,1160.4459921935813
34169,138095.89989361764
34170,128600.5383196633
34171,44920.657139869276
34172,40166.558715896026
34173,32018.53537058317
34174,36299.11616258693
34175,105254.697216756
34176,14438.446553149857
34177,49401.65035447026
34178,173551.80198820864
34179,13805.160000480482
34180,94684.34490334115
34181,64406.24087575308
34182,15183.248400211865
34183,75962.98707578199
34184,35533.99245144245
34185,65849.62346476631
34186,103584.41211366316
34187,35190.91935307044
34188,38628.995091528835
34189,69223.58501171251
34190,51220.953850166894
34191,64173.47971057259
34192,76672.34596780673
34193,4601.352737612495
34194,149470.85413784557
34195,12350.024059694435
34196,106953.91113141234
34197,72667.34028011754
34198,107645.60985691813
34199,20035.441360636767
34200,49081.348292380295
34201,51459.05770352713
34202,130365.39239402491
34203,31768.388783811446
34204,69344.94208057708
34205,38772.96086063771
34206,111135.34693411418
34207,44325.32491230918
34208,28077.667932607732
34209,54964.943635174866
34210,41766.642847216855
34211,67498.60013180264
34212,96384.16344348842
34213,34939.17797463268
34214,12298.53514834387
34215,56836.58770690022
34216,75412.23312679754
34217,29231.969931657783
34218,26948.93881875252
34219,28995.32550788982
34220,45802.63233340136
34221,130247.45343845528
34222,27905.28647317252
34223,7564.105285329675
34224,29458.685132768434
34225,31433.283497794524
34226,90021.92336295957
34227,31911.096279520818
34228,65462.19221769955
34229,101109.95096251604
34230,18995.02466948177
34231,121721.32561742826
34232,169584.78125932592
34233,27599.142331917094
34234,40338.35695645264
34235,42184.109270027
34236,47030.96768196682
34237,33292.993768152286
34238,54834.31352836076
34239,59727.72564430465
34240,114468.91827061231
34241,135444.62623278308
34242,148792.97907328923
34243,78950.85190037228
34244,112218.38770692429
34245,84698.01103823679
34246,28557.200570703226
34247,80940.26940715844
34248,79922.35437583277
34249,59736.09133269399
34250,82081.72677923332
34251,17330.592298470965
34252,82172.24322663216
34253,128867.07878975396
34254,9174.26941318616
34255,120832.60089382352
34256,35369.74060026016
34257,51578.68394551936
34258,49365.02235321225
34259,69332.50109409411
34260,133012.69981262565
34261,-2367.8662944425723
34262,-5438.524329543191
34263,39504.01992988936
34264,46278.20342928621
34265,38606.5034252417
34266,26711.547601297592
34267,18854.087400546723
34268,80457.68951575801
34269,82300.52746505394
34270,108994.1715177887
34271,25744.65346354171
34272,34094.15906920101
34273,59102.66729022695
34274,84414.72529175121
34275,-1104.4418771200628
34276,43622.51463038937
34277,58294.923029452795
34278,44980.60611896759
34279,65582.82675446343
34280,64438.79801080168
34281,132463.25877023174
34282,14884.460022995278
34283,46574.107091413396
34284,137639.72398735338
34285,65443.60364147257
34286,31431.574894632326
34287,60215.181601346725
34288,68647.47013139959
34289,36635.9897197646
34290,36569.6120415229
34291,125340.00242715976
34292,97766.73857688878
34293,21043.975121104217
34294,4513.680466236095
34295,20330.535986995226
34296,96554.56420862324
34297,118364.02482933452
34298,82134.72540338451
34299,4667.99315577858
34300,10055.933652037871
34301,94561.79744210117
34302,18044.67524173492
34303,51434.02909075142
34304,73301.20779476268
34305,33456.84542576546
34306,39207.33466598081
34307,31571.703376089903
34308,32871.50906133279
34309,71917.64375389996
34310,12340.283331969029
34311,62043.64686116854
34312,8821.084126425052
34313,50541.72950337935
34314,63750.00414500969
34315,84510.22928283173
34316,47048.45426964411
34317,57166.26057545449
34318,47962.27208563073
34319,136631.70431855426
34320,50891.10627730469
34321,52203.05777268403
34322,28015.775653104625
34323,13822.345019293438
34324,102856.37137553075
34325,82644.81333399954
34326,28769.953234984532
34327,53925.972497221046
34328,20588.625114459915
34329,39758.374461619234
34330,115974.30912774273
34331,50336.473046166735
34332,18352.09966891192
34333,6181.651285023943
34334,22663.49473577878
34335,82827.79781694013
34336,65713.84269103518
34337,62072.49171486911
34338,48656.19315698114
34339,24132.09925058729
34340,109901.76605132883
34341,73808.9865613349
34342,28991.452141957412
34343,19037.445024441153
34344,74263.68465595043
34345,108367.53367584689
34346,84955.26587313699
34347,110354.86674655645
34348,20733.816600861177
34349,9957.124487132223
34350,118656.5143370034
34351,15878.281308332755
34352,125987.90646563345
34353,48436.80583509139
34354,47406.74363978386
34355,122963.99099280222
34356,14968.638143627073
34357,38246.36700286343
34358,-2042.9634146925105
34359,61546.41430346123
34360,1585.1517869404993
34361,14152.403854046072
34362,26521.20794691935
34363,56580.48342045032
34364,60243.71266026507
34365,58739.80301409545
34366,49919.60153065203
34367,101870.3239485544
34368,37438.27450894803
34369,20020.987555945096
34370,132658.94808658582
34371,67494.97236325154
34372,93355.51051891583
34373,39752.3016498621
34374,84866.16506974431
34375,85570.05184679743
34376,51047.69457879645
34377,25696.993135121986
34378,87770.6436222386
34379,110250.58245755371
34380,39355.658975195896
34381,83125.32274560945
34382,92951.88261593028
34383,69423.64214237414
34384,27810.959664368464
34385,48699.65801204482
34386,84324.83562168386
34387,111310.71017698952
34388,21204.89824353381
34389,37883.93475136152
34390,140127.23999014864
34391,59022.883102108724
34392,101330.42497295601
34393,6898.666326678156
34394,51724.53144609628
34395,64533.87479442769
34396,34756.93454551261
34397,147112.2748152659
34398,86091.8381107641
34399,8822.387762460165
34400,44709.14709443435
34401,79344.81692414827
34402,32518.94659241376
34403,59742.67137009443
34404,74334.87700125086
34405,125830.22518607375
34406,33635.027492330446
34407,7496.819485065905
34408,30902.84477008001
34409,44394.39577528902
34410,19723.382294422765
34411,132170.91399722922
34412,46480.721903846104
34413,113447.23971540359
34414,5745.795937423197
34415,90131.9357689005
34416,25091.483310569558
34417,32826.98511707339
34418,116333.20166072434
34419,26486.80367416025
34420,64806.385933422454
34421,77002.94906098027
34422,70845.19548541115
34423,62389.12354899823
34424,88294.23829272055
34425,119492.31722333463
34426,69740.1201583206
34427,56233.07011343568
34428,26682.60416272049
34429,6418.138498623028
34430,97938.01346858998
34431,57192.170915104885
34432,107052.09761497157
34433,39105.09214267058
34434,22558.180716025356
34435,121316.04849674545
34436,22480.29608839551
34437,33818.41734958405
34438,67091.41961112409
34439,11197.26059022624
34440,11852.616185394356
34441,72508.92057255299
34442,63386.82652042963
34443,32885.51377003117
34444,79668.54702525967
34445,39091.34953954063
34446,56722.84632945024
34447,26688.330865071286
34448,43367.343834160274
34449,92862.97681275835
34450,103104.19779217674
34451,19953.237326063834
34452,14618.060502325716
34453,60389.59249510906
34454,45954.862973319876
34455,19471.49912116229
34456,23482.110451639623
34457,32011.397618234212
34458,24250.437567128956
34459,111244.29393478803
34460,65393.18004166099
34461,54461.56833915262
34462,107726.18701181492
34463,34273.88461579554
34464,112696.30995417525
34465,92435.54285831728
34466,5998.983590756045
34467,27643.923805454797
34468,10235.760825198413
34469,98553.8052432593
34470,49210.72034797407
34471,21530.984264737373
34472,41371.140649832
34473,71027.05122577833
34474,103049.04947155378
34475,70522.89576027659
34476,43026.35068340047
34477,68544.61123667736
34478,53726.09821261618
34479,6991.605311558596
34480,9937.999785528651
34481,-1372.0185578177677
34482,126310.1354379841
34483,92860.26285873595
34484,24689.080321072033
34485,130877.9589672158
34486,8732.807006860532
34487,15284.717806083787
34488,37512.20302369896
34489,82662.97925902429
34490,36619.545908729364
34491,63550.28567448734
34492,119468.08447627717
34493,32505.532757933484
34494,26314.992150403625
34495,28645.188047517317
34496,72959.0043671174
34497,13983.832387090551
34498,85073.99784662285
34499,115466.6875473925
34500,22046.445865386926
34501,124905.46240770849
34502,22778.54575853601
34503,58036.35852963236
34504,33092.907158427995
34505,146401.1072718153
34506,103339.00039271188
34507,18226.197122715865
34508,43806.224565349694
34509,62354.06288187817
34510,94250.98329399424
34511,114632.70460316492
34512,43924.28813144512
34513,9083.63199707762
34514,61677.57326125602
34515,36601.091562800226
34516,89602.9953645135
34517,39925.11234274352
34518,10614.411019207346
34519,92945.99933614103
34520,79467.7333880903
34521,76263.77217225007
34522,3954.9675867612564
34523,29704.299452212425
34524,8433.70405796148
34525,153957.74828575773
34526,112559.63710464927
34527,71751.45287605535
34528,29795.802970069162
34529,98775.98520530852
34530,35657.71603856788
34531,102133.58788645513
34532,114105.77879489548
34533,59344.69999843189
34534,51738.23847818558
34535,24870.876617667247
34536,51834.1326206292
34537,49776.69267846899
34538,56776.99615896061
34539,-3275.5043252762744
34540,24558.912479859326
34541,29954.71462749397
34542,74697.44358680237
34543,18058.147064190503
34544,17668.974469780278
34545,66267.93889452692
34546,66761.32118078286
34547,28888.17133656743
34548,9911.958977926664
34549,74372.5357038716
34550,27822.865099267157
34551,86706.46392392236
34552,7721.554783774475
34553,19742.159273638295
34554,31431.26827280696
34555,96741.22539177196
34556,40658.691083672544
34557,40310.91300406978
34558,46433.397398431036
34559,72092.49312139156
34560,23665.651819265702
34561,57311.30307031555
34562,66373.09632614232
34563,24734.842969521826
34564,14181.382254220793
34565,69427.2191799454
34566,47620.39858899751
34567,134664.22286736104
34568,46051.4559461068
34569,76698.408900308
34570,8968.875067249297
34571,25898.243282541316
34572,56232.29164064509
34573,47109.40634330186
34574,5408.578114196494
34575,11028.241836148365
34576,69213.48725123517
34577,62721.79237512876
34578,67444.119144085
34579,20540.563224248835
34580,12073.866494737063
34581,6233.93866995739
34582,31374.257638601302
34583,59209.58699694175
34584,139178.79324836424
34585,9776.348245417637
34586,22394.742931496374
34587,7261.24423635292
34588,35556.972856093846
34589,90683.90776821553
34590,79724.82264648161
34591,37961.748785399395
34592,68997.38789387638
34593,56403.55385280802
34594,41414.90724212982
34595,36123.946220645754
34596,17185.006334440914
34597,61311.91952296384
34598,35994.134921939665
34599,21542.916507697035
34600,36952.114256255845
34601,175962.98941707116
34602,35502.3282600908
34603,74810.3662956775
34604,68187.396537826
34605,78753.85038721297
34606,160371.66475849133
34607,9152.159350944521
34608,20212.272216342375
34609,27181.84082160813
34610,48491.909702339326
34611,15484.595663123187
34612,72456.91398926277
34613,79578.28500893255
34614,30327.598548175065
34615,20991.62603766943
34616,38542.94923527371
34617,61435.88833156173
34618,123453.99607088475
34619,59125.55359577625
34620,115883.75587532358
34621,9860.479803510707
34622,15093.439714925924
34623,9350.032110596578
34624,14140.162669397096
34625,54531.89872594661
34626,69855.96091311263
34627,92425.12937553336
34628,33113.81622851068
34629,26327.858740423217
34630,11342.165154313003
34631,52507.061837085166
34632,19024.47475097007
34633,30716.58087133751
34634,64047.895285110884
34635,121345.70882437918
34636,19293.191883247942
34637,3824.69267215738
34638,7838.150430751692
34639,24438.98983041628
34640,13209.340641603361
34641,28782.99987641163
34642,3743.7504502958195
34643,66883.90554527735
34644,39517.52289662529
34645,120031.87301535797
34646,74681.75320440705
34647,99146.79631763148
34648,88736.05836226801
34649,105125.10747205924
34650,46013.82667550984
34651,14775.484932787553
34652,103243.78154951357
34653,101248.07579681416
34654,49189.43688500126
34655,29742.080314567436
34656,40118.78587949334
34657,15306.037548141087
34658,57667.722326331364
34659,85076.11953955224
34660,65012.02267241724
34661,9327.41327167057
34662,36746.27996426212
34663,134267.2367827035
34664,56077.569772467155
34665,58539.76117598021
34666,63367.00120322383
34667,70644.79228476743
34668,126971.86286652993
34669,70151.0663802533
34670,83692.00036422902
34671,24351.300045250777
34672,68377.2093141139
34673,10878.428714403366
34674,113060.91228186747
34675,74528.2570083318
34676,61719.442694400714
34677,63546.078415903474
34678,41494.71402715763
34679,19698.360008126456
34680,17920.04942126493
34681,24140.111588994376
34682,47476.368125887806
34683,112450.78078065836
34684,41711.86709454212
34685,16705.54664105381
34686,15258.417733449836
34687,50815.541735158324
34688,116518.44836311288
34689,66139.47264173505
34690,42460.50834547057
34691,-451.97156786398745
34692,74504.44260545154
34693,30373.633060248412
34694,26293.35355680265
34695,29530.734386869288
34696,97006.08783999468
34697,88349.35627643672
34698,49979.69699609854
34699,12834.74966125924
34700,72441.95211700376
34701,73818.56894997161
34702,92010.1555287768
34703,82702.89193580132
34704,88700.39636286133
34705,90441.20888359344
34706,15054.747691587158
34707,23769.381823404008
34708,89161.21870599684
34709,73999.58871955877
34710,89393.20428066984
34711,110483.77814485476
34712,31662.612395949527
34713,101194.11505508493
34714,9977.024707900959
34715,39690.14133720397
34716,93187.86219064557
34717,123302.56378798035
34718,8315.304717825162
34719,16828.692235766524
34720,13815.457202784057
34721,117800.7260708634
34722,96698.04314940686
34723,64870.7598107982
34724,118619.36660059865
34725,43688.63721048821
34726,45876.41885769294
34727,43389.16073447826
34728,22631.245492361715
34729,33497.950258982644
34730,18301.874225914922
34731,1098.2089916256002
34732,37591.2564276357
34733,27369.224407931186
34734,117670.71167168111
34735,50363.981745816636
34736,55038.10317830384
34737,13916.16207248525
34738,50987.4619021449
34739,44198.211284525976
34740,16615.385256397774
34741,115744.02042910823
34742,58356.81054237375
34743,53818.319430679905
34744,11361.850304024847
34745,18684.55728716904
34746,17427.846429656878
34747,25288.709501886016
34748,31277.586946087402
34749,129149.94073515604
34750,60634.10558086405
34751,98250.77921100835
34752,62199.33372761351
34753,33118.91914951338
34754,58309.33099151718
34755,88115.36832918637
34756,110496.72070230123
34757,4725.803453468731
34758,66887.80175103851
34759,78236.39482214891
34760,16884.48246366509
34761,20842.71373926205
34762,83675.27128874982
34763,49334.76738080363
34764,67427.26813793406
34765,24767.271230670678
34766,35919.233091780494
34767,40625.025801270895
34768,80082.32163319051
34769,77796.35272356666
34770,66623.27553885631
34771,9789.366910148492
34772,60285.69317977436
34773,25998.670813454446
34774,100345.76088626793
34775,91337.73216858652
34776,107414.22782338939
34777,29435.08730918541
34778,64677.069647661345
34779,27357.137271212552
34780,50895.06174848058
34781,87150.58788471259
34782,20724.110728054784
34783,31650.626657360663
34784,34566.24114750824
34785,65635.68452358904
34786,57971.88143290951
34787,95025.36758829544
34788,107022.73696015385
34789,106709.97000298253
34790,30853.959748180252
34791,16007.62777268216
34792,120190.32928910831
34793,1744.1600713734
34794,57788.777385957874
34795,8271.057066665164
34796,58908.516399846194
34797,18136.078368192884
34798,20482.540469409985
34799,41465.75273606267
34800,32935.58742783736
34801,120109.34374228268
34802,87626.34358503314
34803,18716.013456066714
34804,54795.23411991579
34805,26903.087334157186
34806,20007.04352545484
34807,102221.18113583683
34808,9677.01826700779
34809,48481.911340691295
34810,117877.71558607763
34811,82047.7514342247
34812,36959.67966598152
34813,97599.77405168898
34814,26694.62117655459
34815,19966.812385483125
34816,17190.433148577722
34817,32710.98067206572
34818,68458.96032141411
34819,1822.0339966415454
34820,41901.502348044254
34821,42707.23125019934
34822,14741.441890861104
34823,27594.638042882496
34824,80634.36767866372
34825,13260.274786529584
34826,17290.988441541605
34827,7345.325149370612
34828,110289.2495341191
34829,82950.55568999055
34830,9438.256026391336
34831,8024.281214011597
34832,102911.35566761134
34833,143566.4764096952
34834,23816.379356179197
34835,47352.34830413954
34836,81576.23010004443
34837,8915.49175674891
34838,146991.40590342256
34839,66715.96665073172
34840,40108.84893029681
34841,82453.29965611812
34842,10033.926120307991
34843,125123.617502538
34844,72963.34019422618
34845,39143.617368887484
34846,47134.30031512078
34847,13363.511911643924
34848,31952.952939481842
34849,120595.22031722846
34850,15618.3515625203
34851,73835.09018839464
34852,31438.450839215617
34853,32628.299024481268
34854,3878.975307547844
34855,37075.45464916881
34856,15631.423671310196
34857,40055.77407736784
34858,95686.5806324683
34859,49824.944895603076
34860,77212.68809360785
34861,52007.67722134806
34862,65564.39689900898
34863,57589.197076993376
34864,39640.905847072565
34865,15034.943772377512
34866,66812.06859047143
34867,104193.83765995517
34868,120336.47181684764
34869,61481.20494724678
34870,6509.835758396252
34871,54476.096728304925
34872,129378.96350588568
34873,29569.882995392378
34874,42746.31978065013
34875,19197.47674934155
34876,101241.86578292516
34877,370.4459231735278
34878,21552.09154018521
34879,155873.85570822048
34880,41810.87755784795
34881,29277.77625449275
34882,86161.07507056776
34883,75058.01927276622
34884,106452.08768508742
34885,101532.925172666
34886,21153.691241855897
34887,43158.83441293401
34888,18644.605244196246
34889,43546.44234264962
34890,16735.65085639075
34891,113263.25901101241
34892,17700.050669794033
34893,77761.636781773
34894,23395.37097427551
34895,49900.95265854298
34896,10996.6280523342
34897,87831.64986427643
34898,25460.724297546123
34899,31022.648693547064
34900,76670.10290774055
34901,20845.796239939795
34902,70064.85414818744
34903,100745.85949458877
34904,15057.614332075818
34905,94067.21782680298
34906,57196.828392927935
34907,62497.83847156256
34908,123400.21739799247
34909,72710.45877090673
34910,17048.981163176737
34911,110298.80942673469
34912,83183.50580606112
34913,83577.817515227
34914,122847.25574431248
34915,49955.54614003059
34916,121596.18500560964
34917,22025.560658694038
34918,47184.13121754561
34919,31228.284286507882
34920,123295.78913273697
34921,61409.759304833075
34922,30674.811977237474
34923,22693.44880045775
34924,63556.80147251333
34925,79887.12305774711
34926,8462.186334922979
34927,122537.57765328954
34928,69069.05535829622
34929,82168.59719071715
34930,92325.06045066664
34931,13826.38314536737
34932,27024.27920436231
34933,19310.051814518167
34934,142971.45085804793
34935,84674.74327573224
34936,28843.013458635276
34937,151250.6273252413
34938,17032.306867952015
34939,51112.9940998969
34940,90782.46056217841
34941,66180.67430294026
34942,114749.35370383643
34943,47821.77329491176
34944,88723.11194313597
34945,40374.755556075135
34946,144111.34893797044
34947,32806.85645310201
34948,76604.09960626402
34949,82706.71720502412
34950,12364.39369647653
34951,98400.72972473336
34952,3631.730557753245
34953,101221.39751369414
34954,48818.08969000803
34955,43550.99142237285
34956,21338.62347517889
34957,71036.79303972574
34958,116782.73017723032
34959,69030.85520177323
34960,25754.298045949345
34961,130481.9966987799
34962,10175.874694796657
34963,96219.34231163372
34964,89228.82527943073
34965,111303.48958356782
34966,68942.54787953992
34967,116877.2530487861
34968,3023.2333131437745
34969,69202.25387923319
34970,127938.01391611595
34971,32267.381517629205
34972,99959.39462265024
34973,13270.809316163948
34974,39006.30337511773
34975,119929.33163468275
34976,46195.82804139321
34977,49116.00517417254
34978,33143.3573114062
34979,13274.665583475198
34980,3629.872112575022
34981,12584.903544726925
34982,43217.01251548307
34983,43917.074021133296
34984,88119.73356710837
34985,31253.479950967543
34986,28015.638755609507
34987,11349.93226826643
34988,24697.428439646643
34989,84941.16963692945
34990,76605.36288621211
34991,141893.35209891014
34992,63190.95668718237
34993,74794.15492006743
34994,37842.048162084204
34995,7091.108730518654
34996,15369.92270352227
34997,48638.733522046576
34998,47187.575516212244
34999,87169.19543976913
35000,50768.736099468624
35001,58962.347465974584
35002,50507.596561707134
35003,46172.9249256992
35004,41233.12690844167
35005,117521.28156749211
35006,73129.02646313205
35007,97743.0902653572
35008,17819.89816007652
35009,46797.4926725156
35010,104418.31048514972
35011,36273.01833266981
35012,33380.99054851387
35013,4815.78269952447
35014,50523.18656849906
35015,19374.05906750794
35016,5131.609540979733
35017,68283.69448269175
35018,64755.354814506136
35019,132593.2230483304
35020,22632.773670463062
35021,30620.923795999704
35022,91096.07768240308
35023,69055.11872638967
35024,67697.20555287512
35025,-171.03928942885574
35026,72569.74461614562
35027,39874.22653261679
35028,131119.42417638973
35029,53883.889224948616
35030,23028.07450855951
35031,135956.88684785814
35032,74886.24575516561
35033,69045.15801965445
35034,85340.9897212493
35035,52998.219026014216
35036,2684.772511339453
35037,79265.32153575723
35038,61084.98156027034
35039,13992.644117554326
35040,124881.65975196872
35041,42844.107202102474
35042,16770.53942788204
35043,7017.741671684017
35044,9464.338099981378
35045,7725.735572832484
35046,10612.186596713302
35047,98636.9088880553
35048,60747.63214066106
35049,94895.56021460178
35050,64098.216392760434
35051,5882.567110540287
35052,79911.36618577944
35053,7779.408365954084
35054,3954.2801053201524
35055,33812.88921282739
35056,122174.70687662906
35057,19198.171887541535
35058,121889.04435348173
35059,43677.740412460014
35060,106303.07944413683
35061,46653.931750880605
35062,80346.84997423695
35063,41148.632546615045
35064,40830.16745465067
35065,98796.19054018559
35066,14017.9593443009
35067,15642.448510516295
35068,87504.22301909723
35069,33623.56363244922
35070,45739.74403230733
35071,73379.21251955052
35072,14570.962660900812
35073,118708.1961624063
35074,77200.07358401302
35075,78566.13172000855
35076,98801.57258644071
35077,5953.833554911859
35078,22971.71441817934
35079,124994.97701331247
35080,73377.57292685268
35081,22015.43940444981
35082,50446.44844170697
35083,39222.766761451436
35084,83136.18981503288
35085,154467.71524002816
35086,14422.91289139116
35087,114651.96910829088
35088,146893.88421011152
35089,97444.60264026045
35090,152500.19011103676
35091,7083.587881578313
35092,104934.11232321647
35093,36949.6575068054
35094,28024.823958719546
35095,42259.48283564253
35096,10419.366542842045
35097,118148.96829965142
35098,41306.61270632006
35099,16120.528611330192
35100,30848.584460616814
35101,44936.13388145447
35102,23611.101228802087
35103,90605.09501055213
35104,16588.108091637583
35105,98336.75602789891
35106,31241.533858786734
35107,107871.0837309651
35108,-458.3299867544033
35109,59062.990563803105
35110,61107.57074934305
35111,118922.32483735686
35112,39377.26246060302
35113,84367.34447598261
35114,76578.9654837749
35115,21146.413088339526
35116,5734.737260541508
35117,82662.49464230247
35118,185.69700876771122
35119,95160.63890899539
35120,88904.12803395165
35121,127966.73161956403
35122,79755.07057069233
35123,113816.34927636971
35124,15737.040948459657
35125,83442.70268399568
35126,80215.81917861091
